OBJECTID,ORIGID,CountyName,PopulationCensus16,TimeStamp,IGEasting,IGNorthing,Lat,Long,UGI,ConfirmedCovidCases,PopulationProportionCovidCases,ConfirmedCovidDeaths,ConfirmedCovidRecovered,SHAPE_Length,SHAPE_Area,Date,Cases,CasesSum7,CasesSum14,CasesMean7,CasesMean14,CasesMedian7,CasesMedian14,Rate,MeanRate7,MeanRate14,MedianRate7,MedianRate14
586,14,Longford,40873,2020/03/22 00:00:00,220162,275901,53.7325,-7.6952,http://data.geohive.ie/resource/county/2ae19629-1441-13a3-e055-000000000001,3,7.33980867565386,NA,NA,315245.172822004,3097977868.80369,2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0
587,15,Louth,128884,2020/03/22 00:00:00,299463,297349,53.9161,-6.487,http://data.geohive.ie/resource/county/2ae19629-1442-13a3-e055-000000000001,16,12.4142639893237,NA,NA,352203.517153586,2386326963.30641,2020-03-22,3,0,0,0,0,0,0,2.3276744979982,0,0,0,0
588,16,Mayo,130507,2020/03/22 00:00:00,117679,297355,53.9191,-9.2537,http://data.geohive.ie/resource/county/2ae19629-1443-13a3-e055-000000000001,9,6.89618181400231,NA,NA,2101964.07657907,16036984139.0268,2020-03-22,3,0,0,0,0,0,0,2.2987272713341045,0,0,0,0
589,17,Meath,195044,2020/03/22 00:00:00,284946,271349,53.6851,-6.715,http://data.geohive.ie/resource/county/2ae19629-1444-13a3-e055-000000000001,16,8.20327720924509,NA,NA,554844.750540487,6658570745.56814,2020-03-22,3,0,0,0,0,0,0,1.538114476733455,0,0,0,0
590,18,Monaghan,61386,2020/03/22 00:00:00,268914,326818,54.1857,-6.9452,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,3,4.88710780959828,NA,NA,392803.047266062,3768943156.93708,2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0
591,19,Offaly,77961,2020/03/22 00:00:00,222690,223679,53.2632,-7.6607,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,13,16.675004168751,NA,NA,561440.378583655,5558826350.06292,2020-03-22,3,0,0,0,0,0,0,3.8480778850963944,0,0,0,0
592,20,Roscommon,64544,2020/03/22 00:00:00,182029,283486,53.8008,-8.2735,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,3,4.64799206742687,NA,NA,622494.154575241,7278743875.74053,2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0
593,21,Sligo,65535,2020/03/22 00:00:00,165130,323355,54.1581,-8.5345,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,8,12.2072175173571,NA,NA,682286.870285504,5348370378.15199,2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0
594,22,Tipperary,159553,2020/03/22 00:00:00,205427,154345,52.6407,-7.9206,http://data.geohive.ie/resource/county/2ae19629-144a-13a3-e055-000000000001,20,12.5350197113185,NA,NA,781276.579658178,11551196729.2754,2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0
595,23,Waterford,116176,2020/03/22 00:00:00,234676,105809,52.2035,-7.4935,http://data.geohive.ie/resource/county/2ae19629-144b-13a3-e055-000000000001,13,11.1899187439747,NA,NA,643184.903993029,4848379554.98393,2020-03-22,4,0,0,0,0,0,0,3.443051921222972,0,0,0,0
596,24,Westmeath,88770,2020/03/22 00:00:00,238362,255966,53.5524,-7.4219,http://data.geohive.ie/resource/county/2ae19629-144c-13a3-e055-000000000001,21,23.6566407570125,NA,NA,422669.332716032,5208705730.29998,2020-03-22,1,0,0,0,0,0,0,1.1265067027148812,0,0,0,0
597,25,Wexford,149722,2020/03/22 00:00:00,301627,141559,52.5164,-6.5037,http://data.geohive.ie/resource/county/2ae19629-144d-13a3-e055-000000000001,7,4.67533161459238,NA,NA,589324.476745023,6332221063.42107,2020-03-22,4,0,0,0,0,0,0,2.6716180654813586,0,0,0,0
598,26,Wicklow,142425,2020/03/22 00:00:00,311162,197894,53.0205,-6.3442,http://data.geohive.ie/resource/county/2ae19629-144e-13a3-e055-000000000001,28,19.6594698964367,NA,NA,427539.198566779,5580728578.64434,2020-03-22,6,0,0,0,0,0,0,4.21274354923644,0,0,0,0
599,1,Carlow,56932,2020/03/23 00:00:00,278661,163444,52.7168,-6.8367000000000004,http://data.geohive.ie/resource/county/2ae19629-143d-13a3-e055-000000000001,3,5.26944424927984,NA,NA,319348.572538664,2432351721.08439,2020-03-23,0,0,0,0,0,0,0,0,0,0,0,0
600,2,Cavan,76176,2020/03/23 00:00:00,246380,304501,53.9878,-7.2937,http://data.geohive.ie/resource/county/2ae19629-1448-13a3-e055-000000000001,5,6.56374711195127,NA,NA,515954.496459225,5575009910.82163,2020-03-23,0,0,0,0,0,0,0,0,0,0,0,0
601,3,Clare,118817,2020/03/23 00:00:00,133493,182732,52.8917,-8.9889,http://data.geohive.ie/resource/county/2ae19629-1450-13a3-e055-000000000001,12,10.0995648770799,NA,NA,1013948.95023179,8722541705.68269,2020-03-23,1,0,0,0,0,0,0,0.8416304064233232,0,0,0,0
